NrKR;ROURO;MURO;RAHF;NRMATKI;RMHF;NROJCA;ROHF;ROKWY;MIEWY;KGMLE;KGT£U;PRT£U;KGBIA£;PRBIA£
43352575;1992;6;0.62;333996144;0.5;2144713;0.75;1994;8;4687;204;4.36;148;3.16
53311319;1997;9;0.5;43373365;0.25;723907;0.75;2000;1;5580;203;3.65;132;2.91
43393788;1996;11;0.43;433698250;0;7060944;0.87;1999;3;4085;149;3.65;129;3.15
53300192;1995;10;0.76;433733555;0.65;6118247;0.87;1998;1;5635;208;3.69;175;3.1
43393767;1996;10;0.68;43379959;0.5;7060944;0.87;1999;3;5092;195;3.82;159;3.12
53305357;1997;3;0.59;433523112;0.25;2131546;0.94;1999;9;4039;128;3.16;121;2.99
43394309;1996;12;0.62;43372898;0.37;7060649;0.87;1999;3;4998;181;3.62;155;3.11
53311342;1997;11;0.67;43380727;0.37;7186641;0.97;2000;2;5265;195;3.7;145;2.75
43394303;1996;12;0.75;43379951;0.5;551948;1;1999;2;4389;199;4.54;134;3.06
53300171;1995;9;0.71;37734179;0.5;3773844;0.94;1997;11;7075;259;3.66;215;3.05
37789037;1994;3;0.64;37759119;0.78;1248615;0.5;1996;5;4177;184;4.41;127;3.04
43380794;1994;10;0.5;33372235;0.12;5115711;0.87;1997;1;5104;198;3.87;157;3.08
43393795;1996;11;0.87;43380742;0.75;551948;1;1999;9;5483;262;4.78;172;3.13
43391641;1996;1;0.75;43332581;0.5;1464142;1;1998;6;4304;171;3.97;135;3.14
43393323;1996;7;0.81;43379242;0.62;7077945;1;1998;10;5231;194;3.7;153;2.93
43391108;1995;3;0.18;43352392;0.37;1479517;0;1997;8;4177;162;3.87;136;3.26
43391045;1995;2;0.68;43312059;0.5;6118247;0.87;1997;7;6354;224;3.52;197;3
53308354;1997;6;0.53;433534325;0.12;2131546;0.94;1999;10;4465;170;3.82;140;3.13
53305448;1997;5;0.59;43373884;0.25;2131546;0.94;1999;9;5658;195;3.45;166;2.94
53305410;1997;4;0.6;43379289;0.25;7207943;0.96;1999;7;5340;243;4.56;178;3.34
53300153;1995;8;0.78;37759197;0.62;3773844;0.94;1997;10;5296;195;3.69;161;3.04
53308518;1997;8;0.87;53300127;0.75;551948;1;2000;1;5276;190;3.6;153;2.91
43394313;1996;12;0.56;43373026;0.25;7060649;0.87;1999;3;4365;169;3.88;139;3.19
43394302;1996;12;0.81;43380731;0.62;551948;1;1999;3;4551;186;4.09;146;3.2
53305368;1997;3;0.53;43391038;0.12;2121546;0.94;1999;9;5321;222;4.17;167;3.13
53300019;1995;4;0.73;43332485;0.59;5115711;0.87;1997;8;5101;224;4.39;165;3.2
43380806;1994;12;0.62;33389165;0.25;4719546;1;1997;9;5010;162;3.24;141;2.82
53300113;1995;7;0.75;43332433;0.5;1841142;1;1997;12;4903;252;5.13;194;3.55
43392138;1996;4;0.62;43379209;0.25;1464142;1;1998;9;4759;222;4.67;162;3.41
53300183;1995;10;0.68;43370358;0.37;1841142;1;1998;1;4224;184;4.36;145;3.44
53308505;1997;7;0.84;433910458;0.68;551948;1;1999;10;5782;201;3.47;175;3.03
53300181;1995;10;0.75;43332491;0.5;1464142;1;1998;1;4715;185;3.93;142;3.01
53300058;1995;5;0.62;43372846;0.25;4719546;1;1997;7;5286;199;3.76;161;3.05
43373818;1993;12;0.75;43312084;0.5;5441348;1;1996;1;5401;206;3.81;160;2.97
43379201;1994;2;0.37;377590396;0;910512;0.75;1996;4;5508;221;4.02;172;3.13
53308514;1997;8;0.78;43370125;0.56;551948;1;1999;11;4549;188;4.14;146;3.2
53305358;1997;3;0.68;433909229;0.37;551948;1;2000;1;5611;210;3.74;167;2.97
53311344;1997;11;0.67;43380733;0.37;7186641;0.97;2000;2;5715;175;3.06;172;3.01
43391538;1995;11;0.62;37734152;0.37;6118247;0.87;1998;3;5180;208;4.01;165;3.18
53308392;1997;7;0.81;43332366;0.62;6456342;1;1999;11;5376;173;3.23;167;3.1
